id,timestamp_,description,area,latitude,longitude,district,freeway,direction,postmile_state,postmile_abs,duration
18451711,2019-01-01 00:02:00,1125-Traffic Hazard,San Francisco,37.808253,-122.366974,4,80,E,7.64,4.1,7.0
18451716,2019-01-01 00:04:00,1125-Traffic Hazard,San Jose,37.315018,-121.90906799999999,4,280,S,R3.7,3.7,2.0
18451747,2019-01-01 00:31:00,FIRE-Report of Fire,Oakland,37.785340000000005,-122.192427,4,580,W,R40.022,56.1,28.0
18451755,2019-01-01 00:37:00,1125-Traffic Hazard,San Jose,37.255786,-121.873073,4,85,S,6,6.0,11.0
18451756,2019-01-01 00:36:00,1125A-Animal Hazard,Contra Costa,38.017386,-121.990427,4,4,W,R17.274,16.962,8.0
18451764,2019-01-01 00:39:00,1125A-Animal Hazard,Hayward,37.668957,-122.10938600000001,4,880,S,18.573,28.8,
18451774,2019-01-01 00:49:00,1125-Traffic Hazard,Oakland,37.800109,-122.224708,4,580,W,R42.122,58.2,2.0
18451778,2019-01-01 00:57:00,1125A-Animal Hazard,Oakland,37.921761,-122.343181,4,580,W,R2.753,66.5,18.0
18451794,2019-01-01 01:08:00,1183-Trfc Collision-Unkn Inj,Oakland,37.777734,-122.167414,4,580,E,R38.334,54.4,56.0
18451795,2019-01-01 01:06:00,1125-Traffic Hazard,Hayward,37.690563,-122.132177,4,880,N,20.473,30.7,43.0
18451801,2019-01-01 01:18:00,1183-Trfc Collision-Unkn Inj,Contra Costa,37.962458000000005,-122.05387900000001,4,680,N,R18.97,50.46,2.0
18451802,2019-01-01 01:16:00,1183-Trfc Collision-Unkn Inj,Contra Costa,38.019102000000004,-121.940875,4,4,W,R20.16,19.828,409.0
18451803,2019-01-01 01:13:00,1125-Traffic Hazard,San Jose,37.339357,-121.930237,4,880,S,1.7,1.7,26.0
18451816,2019-01-01 01:31:00,FIRE-Report of Fire,Contra Costa,37.996773,-121.789698,4,4,E,R28.693,28.348000000000003,6.0
18451836,2019-01-01 01:51:00,1125-Traffic Hazard,Oakland,37.799932,-122.278866,4,980,W,0.209,0.2,26.0
18451844,2019-01-01 01:56:00,1179-Trfc Collision-1141 Enrt,Hollister Gilroy,37.209722,-121.72333300000001,4,101,S,R23.392,372.7,333.0
18451845,2019-01-01 01:54:00,WW-Wrong Way Driver,Castro Valley,37.696071999999994,-122.105048,4,580,E,M31.234,47.3,5.0
18451846,2019-01-01 01:53:00,1182-Trfc Collision-No Inj,San Francisco,37.778081,-122.40116499999999,4,80,E,4.788,1.3,38.0
18451847,2019-01-01 01:52:00,20001-Hit and Run w/Injuries,Oakland,37.779317,-122.170148,4,580,W,R38.886,54.8,313.0
18451853,2019-01-01 02:00:00,1182-Trfc Collision-No Inj,San Francisco,37.805762,-122.369656,4,80,E,7.44,3.9,28.0
18451859,2019-01-01 02:03:00,1125-Traffic Hazard,Contra Costa,38.000883,-121.82615200000001,4,4,W,26.651,26.28,6.0
