,id,county,state_pm,abs_pm,latitude,longitude,lanes,weather_station_id
0,6784,41,19.23,459.835,38.081498,-122.547963,4,135
1,6785,85,38.26,387.897,37.364085,-121.901149,5,23293
2,6786,81,14.67,416.893,37.584097,-122.328465,5,23234
3,6790,1,13.54,23.767,37.605003,-122.065542,4,93228
4,6791,81,15.25,417.437,37.586936,-122.337721,5,23234
5,6793,1,5.7,11.01,37.864883,-122.303345,5,23272
6,6794,81,20.27,422.457,37.629765,-122.402365,4,23234
7,6795,41,16.15,456.755,38.041862,-122.536533,5,135
8,6798,85,27.22,376.491,37.245818,-121.775473,5,23293
9,6799,1,3.09,33.15,37.534901,-122.076575,3,93228
10,6801,85,10.07,10.07,37.253303,-121.94544,4,23293
11,6809,13,13.7,45.192,37.892272,-122.06331000000002,5,23254
12,6810,1,43.47,59.403,37.809611,-122.246363,4,23254
13,6811,13,1.24,14.573,37.914241,-122.317388,4,23272
14,6812,81,22.96,45.5,37.64973300000001,-122.451962,4,23234
15,6814,85,3.64,3.64,37.359087,-121.90653799999998,4,23293
16,6815,1,40.11,56.34,37.787056,-122.19619099999998,4,23293
17,6821,13,17.58,49.133,37.94397100000001,-122.058927,6,23254
18,6822,1,14.95,25.177,37.622701,-122.078223,5,93228
19,6823,81,20.78,422.967,37.637025,-122.404035,4,23234
20,6824,85,2.87,2.86,37.294949,-121.873109,3,23293
21,6825,1,15.8,26.027,37.633535,-122.085656,4,93228
22,6827,75,3.3,431.63,37.753591,-122.403092,4,23272
23,6828,95,5.06,63.198,38.116791,-122.106303,2,23254
24,6829,85,4.02,4.02,37.363402,-121.902233,4,23293
25,6832,13,1.15,5.497999999999998,37.86726,-122.199105,4,23293
26,6833,13,17.01,16.744,38.014622,-121.994448,4,23254
27,6834,1,15.41,15.233,37.68898400000001,-122.114253,3,93228
28,6836,85,6.14,6.14,37.255791,-121.875479,3,23293
29,6837,13,11.16,42.56800000000001,37.862138,-122.034099,4,23254
30,6841,85,1.33,1.33,37.335022,-121.935522,3,23293
31,6843,85,7.97,7.97,37.250481,-121.907735,3,23293
32,6844,1,6.2,11.51,37.87181,-122.305549,5,23272
33,6849,85,4.9,4.89,37.320292,-121.890281,2,23293
34,6851,1,12.94,23.167,37.597694,-122.060285,4,93228
35,6853,85,42.77,392.443,37.385758,-121.977493,4,23293
36,6855,81,13.93,14.656,37.567395,-122.26939,3,93231
37,6857,85,9.4,21.953000000000007,37.2563,-121.955559,2,23293
38,6858,95,3.4,30.872,38.108307,-122.22977,3,93227
39,6859,1,45.56,61.493,37.82576,-122.275143,6,93227
40,6862,13,15.42,46.912,37.913722,-122.066597,6,23254
41,6863,13,0.51,13.843,37.904377,-122.313309,4,23272
42,6866,13,6.27,19.603,37.980187,-122.317007,4,23254
43,6867,1,2.89,1.043,37.839128,-122.264826,4,23254
44,6868,85,8.22,9.602,37.329258,-122.012053,4,23293
45,6869,85,6.1,6.1,37.255594,-121.87471,3,23293
46,6872,85,7.65,7.65,37.414988,-121.912685,4,23293
47,6874,13,7.3,38.673,37.819445,-121.993177,5,23254
48,6875,1,22.5,32.727,37.70723,-122.162087,5,23254
49,6877,1,33.8,44.027,37.811953,-122.303779,4,23272
50,6878,1,28.88,39.107,37.776769,-122.236107,4,23272
51,6880,85,6.17,6.227,37.417981,-121.972547,3,23244
52,6881,85,13.93,14.106,37.279012,-122.010614,3,23293
53,6882,81,16.49,418.713,37.589175,-122.359999,4,23234
54,6884,85,12.39,24.943,37.295052,-121.938872,3,23293
55,6885,13,1.81,6.158,37.872945,-122.189548,5,23293
56,6887,1,2.89,1.043,37.839085,-122.26443,4,23293
57,6888,85,7.11,7.162000000000001,37.419313,-121.95548,3,23293
58,6889,13,4.35,35.758,37.77936,-121.976464,4,23285
59,6890,81,14.93,417.153,37.586325,-122.332169,5,23234
60,6891,81,11.72,413.907,37.551284,-122.294014,4,93231
61,6892,85,4.06,16.613,37.190197,-121.992771,2,23293
62,6893,85,37.61,387.283,37.362706,-121.889426,4,23293
63,6894,13,18.14,49.69300000000001,37.951643,-122.055554,6,23254
64,6895,1,18.85,34.882,37.70141,-121.888557,5,23285
65,6896,13,2.81,3.069,37.998096,-122.038232,4,23254
66,6897,13,2.62,15.953,37.93255300000001,-122.326013,4,23272
67,6899,1,15.41,15.233,37.688688,-122.114306,3,93228
68,6900,81,20.57,422.793,37.634035,-122.403213,4,23234
69,6902,13,4.41,35.783,37.780195,-121.976672,4,23285
70,6903,81,18.58,420.767,37.608473,-122.389316,4,23234
71,6906,85,4.21,4.21,37.36614,-121.901132,3,23293
72,6908,13,11.914,25.247,38.036872,-122.249008,4,23254
73,6909,81,19.49,421.677,37.61875,-122.399021,6,23234
74,6910,1,5.09,10.4,37.856366,-122.301014,5,23272
75,6911,1,0.89,30.95,37.51600300000001,-122.106861,3,93231
76,6912,95,1.74,29.212,38.084834,-122.23313600000002,3,93227
77,6916,85,2.11,2.11,37.243208,-121.80638700000002,4,23293
78,6918,1,24.75,34.977,37.731787,-122.188781,5,23293
79,6921,1,8.83,19.057,37.54653,-122.022581,4,93228
80,6922,85,32.92,382.589,37.317118,-121.830485,5,23293
81,6925,1,6.37,16.597,37.523522,-121.989607,4,23244
82,6927,41,18.62,459.225,38.074388,-122.541483,5,135
83,6929,85,4.03,4.03,37.251693,-121.838501,3,23293
84,6930,1,19.68,29.907,37.680405,-122.123301,6,93228
85,6931,85,2.04,2.04,37.34221,-121.926305,3,23293
86,6932,85,8.23,8.23,37.250664,-121.912479,3,23293
87,6933,85,48.59,398.263,37.4118,-122.077964,3,23244
88,6934,13,12.17,43.543,37.874155,-122.044346,4,23254
89,6936,13,6.31,37.683,37.805463,-121.99026200000002,5,23285
90,6937,1,15.46,31.492,37.700927,-121.826692,7,23285
91,6938,85,7.05,19.603,37.226342,-121.975157,2,23293
92,6940,75,2.05,52.011,37.727079,-122.445019,5,23272
93,6942,85,8.17,8.222000000000001,37.421059,-121.93678,3,23293
94,6944,85,35.64,385.309,37.348392,-121.860589,4,23293
95,6946,81,11.49,12.216,37.552538,-122.307782,2,93231
96,6948,1,2.11,32.17,37.530179,-122.093116,3,93228
97,6952,85,43.83,393.467,37.391166,-121.995524,4,23244
98,6953,13,11.94,43.348,37.871257,-122.042369,5,23254
99,6955,13,4.53,8.878,37.891457,-122.152067,4,23254
100,6956,85,40.59,390.263,37.376264,-121.939712,4,23293
101,6958,85,23.48,23.656,37.403686,-122.06976,3,23244
102,6960,1,5.892,11.202,37.867545,-122.304183,5,23272
103,6962,85,1.53,1.53,37.276874,-121.863698,2,23293
104,6964,1,19.04,29.267,37.674405,-122.114201,5,93228
105,6965,85,27.02,376.291,37.244125,-121.772528,4,23293
106,6966,13,2.05,15.383,37.925458,-122.320648,6,23272
107,6967,81,24.81,426.997,37.689942,-122.390669,4,23234
108,6968,13,19.09,50.597,37.964604,-122.055102,4,23254
109,6969,85,16.06,16.236,37.303131,-122.034527,3,23244
110,6970,1,11.05,21.277,37.572471,-122.046218,4,93228
111,6973,1,3.28,13.507,37.493107,-121.948928,4,23244
112,6974,1,28.07,38.297,37.771395,-122.223163,4,23244
113,6976,1,23.35,33.577,37.71565,-122.173379,6,23244
114,6977,13,17.01,48.529,37.935406,-122.060387,4,23254
115,6979,85,33.27,382.903,37.321278,-121.834098,4,23293
116,6981,13,6.73,11.078,37.895088,-122.112962,4,23254
117,6985,85,6.7,6.752000000000002,37.419186,-121.962831,3,23293
118,6986,13,2.31,66.236,37.92135,-122.337615,3,23272
119,6987,1,44.68,60.613,37.822145,-122.259965,4,23272
120,6988,1,1.31,31.37,37.521657,-122.102892,3,93231
121,6990,85,41.87,391.543,37.381356,-121.96211,4,23293
122,6991,13,7.98,39.353,37.827979,-121.998142,4,23254
123,6992,13,15.79,47.309,37.918191,-122.06364,5,23254
124,6993,85,17.49,17.666,37.319961,-122.049031,4,23244
125,6995,13,13.37,44.862,37.8897,-122.058213,5,23254
126,6996,13,2.53,33.903,37.75546,-121.962333,4,23285
127,6997,85,11.16,11.336,37.259192,-121.967128,4,23293
128,6998,41,18.76,460.033,38.076333,-122.54237,4,135
129,7000,13,1.98,65.906,37.919642,-122.332292,3,23272
130,7002,1,33.15,43.377,37.803542,-122.301498,4,23272
131,7005,85,12.28,24.833,37.293614,-121.937899,3,23293
132,7006,85,13.52,13.696,37.275395,-122.004702,3,23293
133,7007,85,23.28,372.587,37.208513,-121.721905,4,23293
134,7008,1,2.63,0.7829999999999999,37.835531,-122.266013,4,23293
135,7009,1,20.65,30.877,37.689656,-122.136588,4,93228
136,7011,85,40.81,390.447,37.377237,-121.943586,5,23293
137,7012,1,23.53,33.757,37.71769000000001,-122.175415,6,23293
138,7015,75,6.52,56.493,37.762469,-122.392743,3,23272
139,7016,1,0.35,10.276,37.468847,-121.907383,3,23293
140,7019,13,11.380999999999998,24.714,38.030602,-122.254968,4,23254
141,7020,85,5.26,5.25,37.325009,-121.892984,3,23293
142,7021,85,23.43,372.701,37.210372,-121.723483,4,23293
143,7022,85,7.53,7.53,37.413256,-121.912324,4,23293
144,7024,85,9.55,22.103,37.258184,-121.953853,3,23293
145,7026,1,34.9,45.127,37.824311,-122.291457,4,23293
146,7030,85,42.89,392.527,37.386551,-121.979462,4,23293
147,7032,1,8.87,19.097,37.54691500000001,-122.02316299999998,4,93228
148,7033,1,4.66,14.887,37.506892,-121.966671,4,23244
149,7035,13,6.12,10.468,37.893156,-122.12381200000002,4,23254
150,7036,1,20.42,30.647,37.687544,-122.133225,4,93228
151,7037,85,2.1,2.1,37.342957,-121.925721,3,23293
152,7039,75,1.4,429.694,37.727662,-122.402599,5,23272
153,7041,85,2.66,2.65,37.291715,-121.871799,3,23293
154,7042,85,4.36,4.36,37.313462,-121.886197,3,23293
155,7044,81,25.98,428.167,37.706585,-122.394455,4,23272
156,7045,1,42.76,58.69300000000001,37.805061,-122.234851,4,23272
157,7047,81,13.72,415.943,37.57366500000001,-122.317153,5,23234
158,7048,85,48.88,398.55300000000005,37.413855,-122.082578,4,23244
159,7049,95,1.46,59.598,38.070185,-122.12636,2,23254
160,7052,85,5.18,5.18,37.255651,-121.858078,3,23293
161,7054,13,18.94,18.674,38.022118,-121.962342,4,23254
162,7056,81,11.35,413.573,37.546868,-122.290231,4,93231
163,7058,85,4.68,4.737,37.409627,-121.997252,3,23244
164,7059,1,18.48,28.707,37.667821,-122.108348,5,93228
165,7060,81,21.19,43.734,37.62897,-122.432885,3,23234
166,7062,85,10.2,22.753,37.266561,-121.948692,3,23293
167,7064,85,0.45,0.45,37.26198,-121.858479,2,23293
168,7067,41,17.04,458.3130000000001,38.053731,-122.530648,4,135
169,7068,1,15.54,25.767,37.630267,-122.083308,4,93228
