,datacoverage,elevation,elevationunit,id,latitude,longitude,maxdate,mindate,name,weather_id
0,0.91,1.8,METERS,WBAN:23230,37.72139,-122.22083,2019-05-10,1943-01-01,"OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US",23230
1,1.0,119.8,METERS,WBAN:23285,37.6927,-121.8144,2019-05-10,2000-01-01,"LIVERMORE MUNICIPAL AIRPORT, CA US",23285
2,1.0,13.1,METERS,WBAN:93228,37.6542,-122.115,2019-05-10,2000-01-01,"HAYWARD AIR TERMINAL, CA US",93228
3,1.0,5.5,METERS,WBAN:23254,37.9917,-122.055,2019-05-10,1969-01-01,"CONCORD BUCHANAN FIELD, CA US",23254
4,1.0,1.2,METERS,WBAN:00135,38.15,-122.55,2019-05-10,2014-07-31,"GNOSS FIELD AIRPORT, CA US",135
5,1.0,4.3,METERS,WBAN:93227,38.2102,-122.2847,2019-05-10,2000-01-01,"NAPA CO AIRPORT, CA US",93227
6,1.0,72.2,METERS,WBAN:00392,36.9,-121.417,2019-05-10,2009-02-01,"HOLLISTER MUNICIPAL AIRPORT, CA US",392
7,0.06,45.7,METERS,WBAN:23272,37.7705,-122.4269,2019-03-28,1945-01-01,"SAN FRANCISCO DOWNTOWN, CA US",23272
8,1.0,20.1,METERS,WBAN:00228,37.513,-122.501,2019-05-10,2009-07-17,"HALF MOON BAY AIRPORT, CA US",228
9,1.0,2.4,METERS,WBAN:23234,37.6197,-122.3647,2019-05-10,1948-01-01,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",23234
11,1.0,1.5,METERS,WBAN:93231,37.51667,-122.25,2019-05-10,2005-06-19,"SAN CARLOS AIRPORT, CA US",93231
13,0.98,11.9,METERS,WBAN:23244,37.40583,-122.04806,2019-05-10,1945-03-03,"MOFFETT FEDERAL AIRFIELD, CA US",23244
14,0.87,15.5,METERS,WBAN:23293,37.3591,-121.924,2019-05-10,1951-01-01,"SAN JOSE, CA US",23293
16,1.0,48.8,METERS,WBAN:23277,36.93583,-121.78861,2019-05-10,2005-01-01,"WATSONVILLE MUNICIPAL AIRPORT, CA US",23277
17,1.0,18.0,METERS,WBAN:23202,38.26667,-121.93333,2019-05-10,1943-08-11,"TRAVIS FIELD AFB, CA US",23202
18,1.0,33.2,METERS,WBAN:93241,38.3775,-121.9575,2019-05-10,2005-01-01,"VACAVILLE NUT TREE AIRPORT, CA US",93241
19,1.0,27.1,METERS,WBAN:00320,38.25,-122.6,2019-05-10,2014-07-31,"PETALUMA MUNICIPAL AIRPORT, CA US",320
20,1.0,34.7,METERS,WBAN:23213,38.5038,-122.8102,2019-05-10,2000-01-01,"SANTA ROSA SONOMA CO AIRPORT, CA US",23213
21,1.0,19.2,METERS,WBAN:93245,38.3208,-123.0747,2019-05-10,2008-06-14,"BODEGA 6 WSW, CA US",93245
